Titulo,Link,Fecha_lanzamiento,Editor,País,Duración,Edad_mínima,Año_grabación,Subtítulos
"Filth, El Sucio (DVD)",https://www.elcorteingles.es/cine/MP_0000572_cine8044-filth-el-sucio-dvd/?parentCategoryId=999.54220013&color=default,2 de noviembre de 2016,CAMEO MEDIA S.L.,N/A,N/A,N/A,N/A,N/A
En Tierra Peligrosa BD 1994 On Deadly Ground,https://www.elcorteingles.es/cine/A32182039-en-tierra-peligrosa-bd-1994-on-deadly-ground/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Prueba De Vida BD 2000 Proof of Life,https://www.elcorteingles.es/cine/A41463524-prueba-de-vida-bd-2000-proof-of-life/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Unidad de élite,https://www.elcorteingles.es/cine/A24360587-unidad-de-elite/?parentCategoryId=999.54220013&color=default,,DVD STORE,N/A,N/A,N/A,N/A,N/A
Plan De Escape 2 BLU-RAY 2018 Escape Plan 2: Hades,https://www.elcorteingles.es/cine/A46616024-plan-de-escape-2-blu-ray-2018-escape-plan-2-hades/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Ice Road BD 2021,https://www.elcorteingles.es/cine/A45697521-ice-road-bd-2021/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Belleza Mortal BD 1987 Fatal Beauty,https://www.elcorteingles.es/cine/A40780057-belleza-mortal-bd-1987-fatal-beauty/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Presa de la Secta BD 1995 The Hunted,https://www.elcorteingles.es/cine/A39760269-presa-de-la-secta-bd-1995-the-hunted/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
En Tierra Peligrosa 2 Fire Down Below,https://www.elcorteingles.es/cine/A34957386-en-tierra-peligrosa-2-fire-down-below/?parentCategoryId=999.54220013&color=default,,DVD STORE,N/A,N/A,N/A,N/A,N/A
Black Dog BD 1998,https://www.elcorteingles.es/cine/A34957389-black-dog-bd-1998/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
"Robin Hood, Príncipe De Los Ladrones BLU-RAY 1991 Robin Hood: Prince of Thieves",https://www.elcorteingles.es/cine/A47752085-robin-hood-principe-de-los-ladrones-blu-ray-1991-robin-hood-prince-of-thieves/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Shopping DVD 1994,https://www.elcorteingles.es/cine/A40219777-shopping-dvd-1994/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Cristóbal Colón: El Descubrimiento BD 1992 Christopher Columbus: The Discovery,https://www.elcorteingles.es/cine/A37758303-cristobal-colon-el-descubrimiento-bd-1992-christopher-columbus-the-discovery/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Rollerball Rollerball,https://www.elcorteingles.es/cine/A36884302-rollerball-rollerball/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Justa Venganza Wake Of Death,https://www.elcorteingles.es/cine/A41590313-justa-venganza-wake-of-death/?parentCategoryId=999.54220013&color=default,,DVD STORE,N/A,N/A,N/A,N/A,N/A
Se Busca Vivo o Muerto BD 1987 Wanted: Dead or Alive,https://www.elcorteingles.es/cine/A40219785-se-busca-vivo-o-muerto-bd-1987-wanted-dead-or-alive/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Los Demonios de la Noche The Ghost And The Darkness,https://www.elcorteingles.es/cine/A48220580-los-demonios-de-la-noche-the-ghost-and-the-darkness/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
El Sabor de la Muerte BD 1995 Kiss of Death,https://www.elcorteingles.es/cine/A44447647-el-sabor-de-la-muerte-bd-1995-kiss-of-death/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Cazador a Sueldo BD 1980 The Hunter,https://www.elcorteingles.es/cine/A45038990-cazador-a-sueldo-bd-1980-the-hunter/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Infierno en Alcatraz 1987,https://www.elcorteingles.es/cine/MP_0000572_35487-infierno-en-alcatraz-1987/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Trío de Ases 1983,https://www.elcorteingles.es/cine/MP_0000572_35450-trio-de-ases-1983/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
El Temible Burlón The Crimson Pirate,https://www.elcorteingles.es/cine/A48220578-el-temible-burlon-the-crimson-pirate/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Patrulla De Rescate (Flight From Ashiya),https://www.elcorteingles.es/cine/MP_0008858_8437005055599-patrulla-de-rescate-flight-from-ashiya/?parentCategoryId=999.54220013&color=default,Castellano,Acción y Aventuras,N/A,N/A,N/A,N/A,N/A
BRICK MANSIONS (DVD),https://www.elcorteingles.es/cine/MP_0008555_8436540904980-brick-mansions-dvd/?parentCategoryId=999.54220013&color=default,Inglés,Acción y Aventuras,N/A,N/A,N/A,N/A,N/A
En el Filo DVD 2020 Na ostrie,https://www.elcorteingles.es/cine/A45983956-en-el-filo-dvd-2020-na-ostrie/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Shaolin. La Leyenda de Los Monjes Guerreros Shaolin,https://www.elcorteingles.es/cine/A7474533-shaolin-la-leyenda-de-los-monjes-guerreros-shaolin/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
MOTIN (DVD),https://www.elcorteingles.es/cine/MP_0008555_8436548866181-motin-dvd/?parentCategoryId=999.54220013&color=default,Inglés,Acción y Aventuras,N/A,N/A,N/A,N/A,N/A
